BidderTestPositivePaceMultiplier1 : (200, '5900', '990') : Pass/Fail :Pass
BidderTestPositivePaceMultiplier5 : (200, '5900', '4950') : Pass/Fail :Pass
BidderTestPositivePaceMultiplier10 : (200, '5900', '9900') : Pass/Fail :Pass
BidderTestPositivePaceMultiplier0 : (204, 0, 0) : Pass/Fail :Pass
BidderTestPositiveHightAndWidthAvailable : (200, '9995', '109909') : Pass/Fail :Pass
BidderTestNegativeHightAvailableWidthnotAvailable : (200, '9994', '990') : Pass/Fail :Pass
BidderTestNegativeHightNotAvailableWidthAvailable : (200, '9993', '990') : Pass/Fail :Pass
BidderTestNegativeHightWidthNotAvailable : (200, '9992', '990') : Pass/Fail :Pass
BidderHouseholdThresholdsetto1 : (204, 0, 0) : Pass/Fail :Pass
BidderHouseholdThresholdsetto0 : (200, '9990', '990') : Pass/Fail :Pass
BidderHouseholdThresholdsetto2 : (204, 0, 0) : Pass/Fail :Pass
BidderHouseholdScoreGreaterThenThreshold : (200, '9988', '990') : Pass/Fail :Pass
BidderHouseholdScoreLessThenThreshold : (204, 0, 0) : Pass/Fail :Pass
BidderHouseholdScoreEqualToThreshold : (200, '9986', '990') : Pass/Fail :Pass
BidderPublisherScoreEqualTo1 : (200, '9985', '990') : Pass/Fail :Pass
BidderPublisherScoreEqualTo0 : (200, '9984', '990') : Pass/Fail :Pass
BidderPublisherScoreequalto5 : (200, '9984', '990') : Pass/Fail :Pass
BidderPublisherThresholdGreaterthanscore : (200, '9984', '990') : Pass/Fail :Pass
BidderPublisherThresholdLessthanscore : (200, '9984', '990') : Pass/Fail :Pass
BidderPublisherThresholdEqualtoscore : (200, '9984', '990') : Pass/Fail :Pass
BidderViewabilityThresholdEqualto1 : (200, '9984', '1090') : Pass/Fail :Pass
BidderViewabilityThresholdEqualto0 : (200, '9984', '1090') : Pass/Fail :Pass
BidderViewabilityThresholdEqualto5 : (200, '9984', '1090') : Pass/Fail :Pass
BidderViewabilityThresholdGreaterThanScore : (204, 0, 0) : Pass/Fail :Pass
BidderViewabilityThresholdLessThenScore : (200, '9984', '1090') : Pass/Fail :Pass
BidderViewabilityThresholdEqualtoScore : (200, '9984', '1090') : Pass/Fail :Pass
BidderRecencyThresholdEqualto10minsChn1 : (200, '9984', '9001') : Pass/Fail :Pass
BidderRecencyThresholdEqualto10minsChn1Neg : (204, 0, 0) : Pass/Fail :Pass
BidderRecencyThresholdEqualto10minsObjNot4 : (200, '9984', '9001') : Pass/Fail :Pass
BidderRecencyThresholdEqualto10minsChnlto8 : (200, '9984', '9001') : Pass/Fail :Pass
BidderRecencyThresholdEqualto10minsChnlto8Obj2 : (204, 0, 0) : Pass/Fail :Fail
BidderRecencyThresholdEqualtotime : (200, '9984', '9001') : Pass/Fail :Pass
BidderRecencyThresholdforchannel8Obj1 : (204, 0, 0) : Pass/Fail :Fail
BidderHouseholdandViewabilityThSet : (204, 0, 0) : Pass/Fail :Fail
BidderHouseholdScoreLesstheTh&ViewabilityTHnotmet : (204, 0, 0) : Pass/Fail :Pass
BidderViewabilityScoreLesstheTh&ViewabilityTHnotmet : (204, 0, 0) : Pass/Fail :Pass
BidderViewabilityAndHouseHoldScoreLesstheTh : (204, 0, 0) : Pass/Fail :Pass
BidderViewHouseHoldAndRecencyThSet : (204, 0, 0) : Pass/Fail :Fail
BidderViewHouseHoldAndRecencyThSetRecencyScoreLessThenTh : (204, 0, 0) : Pass/Fail :Pass
BidderViewHouseHoldAndRecencyThSetHHScoreLessThenTh : (204, 0, 0) : Pass/Fail :Pass
BidderViewHouseHoldAndRecencyThSetViewScoreLessThenTh : (204, 0, 0) : Pass/Fail :Pass
BidderDefaultWidthAndHight : (204, 0, 0) : Pass/Fail :Pass
BidderRecencyThresholdEqualto10minsChnlto8Obj2 : (204, 0, 0) : Pass/Fail :Fail
BidderRecencyThresholdforchannel8Obj1 : (204, 0, 0) : Pass/Fail :Fail
BidderHouseholdandViewabilityThSet : (204, 0, 0) : Pass/Fail :Fail
BidderViewHouseHoldAndRecencyThSet : (204, 0, 0) : Pass/Fail :Fail
